"index_ts","date","metric","value"
"nasdaq_100_ndx","2025-03-12","open",19663.390625
"nasdaq_100_ndx","2025-03-12","low",19375.25
"nasdaq_100_ndx","2025-03-11","close",19376.9609375
"nasdaq_100_ndx","2025-03-11","volume",9177320000
"nasdaq_100_ndx","2025-03-11","open",19405.51953125
"nasdaq_100_ndx","2025-03-11","low",19180.560546875
"nasdaq_100_ndx","2025-03-11","high",19659.4296875
"nasdaq_100_ndx","2025-03-11","close_adjusted",19376.9609375
"nasdaq_100_ndx","2025-03-10","close_adjusted",19430.94921875
"nasdaq_100_ndx","2025-03-10","high",19867.080078125
"nasdaq_100_ndx","2025-03-10","volume",8636040000
"nasdaq_100_ndx","2025-03-10","open",19826.9609375
"nasdaq_100_ndx","2025-03-10","low",19243.310546875
"nasdaq_100_ndx","2025-03-10","close",19430.94921875
"nasdaq_100_ndx","2025-03-07","close_adjusted",20201.369140625
"nasdaq_100_ndx","2025-03-07","close",20201.369140625
"nasdaq_100_ndx","2025-03-07","volume",8135420000
"nasdaq_100_ndx","2025-03-07","open",20015.619140625
"nasdaq_100_ndx","2025-03-07","low",19736.810546875
"nasdaq_100_ndx","2025-03-07","high",20253.220703125
"nasdaq_100_ndx","2025-03-06","open",20231.740234375
"nasdaq_100_ndx","2025-03-06","low",19968.560546875
"nasdaq_100_ndx","2025-03-06","high",20473.41015625
"nasdaq_100_ndx","2025-03-06","close_adjusted",20052.630859375
"nasdaq_100_ndx","2025-03-06","volume",7686200000
"nasdaq_100_ndx","2025-03-06","close",20052.630859375
"nasdaq_100_ndx","2025-03-05","high",20688.720703125
"nasdaq_100_ndx","2025-03-05","volume",7048430000
"nasdaq_100_ndx","2025-03-05","open",20363.220703125
"nasdaq_100_ndx","2025-03-05","low",20182.5703125
"nasdaq_100_ndx","2025-03-05","close_adjusted",20628.4609375
"nasdaq_100_ndx","2025-03-05","close",20628.4609375
"nasdaq_100_ndx","2025-03-04","close",20352.529296875
"nasdaq_100_ndx","2025-03-04","high",20688.4609375
"nasdaq_100_ndx","2025-03-04","low",20034.6796875
"nasdaq_100_ndx","2025-03-04","open",20281.880859375
"nasdaq_100_ndx","2025-03-04","volume",8469180000
"nasdaq_100_ndx","2025-03-04","close_adjusted",20352.529296875
"nasdaq_100_ndx","2025-03-03","close",20425.580078125
"nasdaq_100_ndx","2025-03-03","volume",8170140000
"nasdaq_100_ndx","2025-03-03","open",20989.580078125
"nasdaq_100_ndx","2025-03-03","low",20279.5
"nasdaq_100_ndx","2025-03-03","high",21073.80078125
"nasdaq_100_ndx","2025-03-03","close_adjusted",20425.580078125
"nasdaq_100_ndx","2025-02-28","volume",8247520000
"nasdaq_100_ndx","2025-02-28","open",20518.650390625
"nasdaq_100_ndx","2025-02-28","low",20407.44921875
"nasdaq_100_ndx","2025-02-28","high",20900.76953125
"nasdaq_100_ndx","2025-02-28","close",20884.41015625
"nasdaq_100_ndx","2025-02-28","close_adjusted",20884.41015625
"nasdaq_100_ndx","2025-02-27","volume",7700290000
"nasdaq_100_ndx","2025-02-27","close_adjusted",20550.94921875
"nasdaq_100_ndx","2025-02-27","high",21323.91015625
"nasdaq_100_ndx","2025-02-27","close",20550.94921875
"nasdaq_100_ndx","2025-02-27","low",20540.6796875
"nasdaq_100_ndx","2025-02-27","open",21281.359375
"nasdaq_100_ndx","2025-02-26","close",21132.919921875
"nasdaq_100_ndx","2025-02-26","volume",7034450000
"nasdaq_100_ndx","2025-02-26","open",21170.509765625
"nasdaq_100_ndx","2025-02-26","low",21012.619140625
"nasdaq_100_ndx","2025-02-26","high",21350.51953125
"nasdaq_100_ndx","2025-02-26","close_adjusted",21132.919921875
"nasdaq_100_ndx","2025-02-25","close_adjusted",21087.25
"nasdaq_100_ndx","2025-02-25","high",21326.810546875
"nasdaq_100_ndx","2025-02-25","low",20930.580078125
"nasdaq_100_ndx","2025-02-25","open",21318.76953125
"nasdaq_100_ndx","2025-02-25","volume",7991440000
"nasdaq_100_ndx","2025-02-25","close",21087.25
"nasdaq_100_ndx","2025-02-24","open",21669.359375
"nasdaq_100_ndx","2025-02-24","close",21352.080078125
"nasdaq_100_ndx","2025-02-24","close_adjusted",21352.080078125
"nasdaq_100_ndx","2025-02-24","high",21727.580078125
"nasdaq_100_ndx","2025-02-24","low",21341.9609375
"nasdaq_100_ndx","2025-02-24","volume",7414760000
"nasdaq_100_ndx","2025-02-21","high",22115.2109375
"nasdaq_100_ndx","2025-02-21","close_adjusted",21614.080078125
"nasdaq_100_ndx","2025-02-21","low",21597.16015625
"nasdaq_100_ndx","2025-02-21","open",22110.5390625
"nasdaq_100_ndx","2025-02-21","volume",8461020000
"nasdaq_100_ndx","2025-02-21","close",21614.080078125
"nasdaq_100_ndx","2025-02-20","close",22068.060546875
"nasdaq_100_ndx","2025-02-20","close_adjusted",22068.060546875
"nasdaq_100_ndx","2025-02-20","high",22148.439453125
"nasdaq_100_ndx","2025-02-20","low",21878.75
"nasdaq_100_ndx","2025-02-20","open",22132.7109375
"nasdaq_100_ndx","2025-02-20","volume",7329270000
"nasdaq_100_ndx","2025-02-19","close_adjusted",22175.599609375
"nasdaq_100_ndx","2025-02-19","close",22175.599609375
"nasdaq_100_ndx","2025-02-19","volume",8171530000
"nasdaq_100_ndx","2025-02-19","open",22121.73046875
"nasdaq_100_ndx","2025-02-19","low",22045.75
"nasdaq_100_ndx","2025-02-19","high",22222.609375
"nasdaq_100_ndx","2025-02-18","volume",8683170000
"nasdaq_100_ndx","2025-02-18","close",22164.609375
"nasdaq_100_ndx","2025-02-18","close_adjusted",22164.609375
"nasdaq_100_ndx","2025-02-18","high",22191.369140625
"nasdaq_100_ndx","2025-02-18","low",22029.580078125
"nasdaq_100_ndx","2025-02-18","open",22176.009765625
"nasdaq_100_ndx","2025-02-14","close",22114.689453125
"nasdaq_100_ndx","2025-02-14","volume",7995720000
"nasdaq_100_ndx","2025-02-14","open",22038.609375
"nasdaq_100_ndx","2025-02-14","low",22010.349609375
"nasdaq_100_ndx","2025-02-14","high",22139.4296875
"nasdaq_100_ndx","2025-02-14","close_adjusted",22114.689453125
"nasdaq_100_ndx","2025-02-13","close",22030.7109375
"nasdaq_100_ndx","2025-02-13","volume",8414510000
"nasdaq_100_ndx","2025-02-13","low",21758.0390625
"nasdaq_100_ndx","2025-02-13","high",22038.150390625
"nasdaq_100_ndx","2025-02-13","open",21786.16015625
"nasdaq_100_ndx","2025-02-13","close_adjusted",22030.7109375
"nasdaq_100_ndx","2025-02-12","volume",7946550000
"nasdaq_100_ndx","2025-02-12","open",21475.41015625
"nasdaq_100_ndx","2025-02-12","low",21454.189453125
"nasdaq_100_ndx","2025-02-12","high",21745.66015625
"nasdaq_100_ndx","2025-02-12","close_adjusted",21719.259765625
"nasdaq_100_ndx","2025-02-12","close",21719.259765625
"nasdaq_100_ndx","2025-02-11","high",21776.25
"nasdaq_100_ndx","2025-02-11","close",21693.51953125
"nasdaq_100_ndx","2025-02-11","close_adjusted",21693.51953125
"nasdaq_100_ndx","2025-02-11","low",21625.509765625
"nasdaq_100_ndx","2025-02-11","open",21629.109375
"nasdaq_100_ndx","2025-02-11","volume",9269380000
"nasdaq_100_ndx","2025-02-10","open",21670.060546875
"nasdaq_100_ndx","2025-02-10","close",21756.73046875
"nasdaq_100_ndx","2025-02-10","volume",9535440000
"nasdaq_100_ndx","2025-02-10","close_adjusted",21756.73046875
"nasdaq_100_ndx","2025-02-10","high",21793.130859375
"nasdaq_100_ndx","2025-02-10","low",21645.169921875
"nasdaq_100_ndx","2025-02-07","open",21776.279296875
"nasdaq_100_ndx","2025-02-07","volume",7748940000
"nasdaq_100_ndx","2025-02-07","high",21869.3203125
"nasdaq_100_ndx","2025-02-07","close_adjusted",21491.310546875
"nasdaq_100_ndx","2025-02-07","close",21491.310546875
"nasdaq_100_ndx","2025-02-07","low",21465.4609375
"nasdaq_100_ndx","2025-02-06","close",21774.0703125
"nasdaq_100_ndx","2025-02-06","close_adjusted",21774.0703125
"nasdaq_100_ndx","2025-02-06","high",21776.080078125
"nasdaq_100_ndx","2025-02-06","low",21618.25
"nasdaq_100_ndx","2025-02-06","open",21674.169921875
"nasdaq_100_ndx","2025-02-06","volume",6642100000
"nasdaq_100_ndx","2025-02-05","close",21658.16015625
"nasdaq_100_ndx","2025-02-05","close_adjusted",21658.16015625
"nasdaq_100_ndx","2025-02-05","high",21662.98046875
"nasdaq_100_ndx","2025-02-05","low",21408.640625
"nasdaq_100_ndx","2025-02-05","open",21453.869140625
"nasdaq_100_ndx","2025-02-05","volume",6712220000
"nasdaq_100_ndx","2025-02-04","high",21582.400390625
"nasdaq_100_ndx","2025-02-04","volume",6477050000
"nasdaq_100_ndx","2025-02-04","open",21319.580078125
"nasdaq_100_ndx","2025-02-04","low",21308.240234375
"nasdaq_100_ndx","2025-02-04","close_adjusted",21566.919921875
"nasdaq_100_ndx","2025-02-04","close",21566.919921875
